from,to,weight,season
Mainz,1,50,2021
1,Deutschland,,
Nuernberg,33,3,2019
33,Deutschland,,
StuttgartII,42,,2019
42,Deutschland,,
Arsenal,5,30,2022
5,Griechenland,,
Hannover,2,40,2020
2,Deutschland,,
2,Usbekistan,,
Jubilo,37,1,2021
37,Japan ,,
Zagreb,24,60,2019
24,Kroatien,,
24,Deutschland,,
Freiburg,15,13,2020
15,Deutschland,,
Hamburg,23,,2018
23,Belgien,,
23,Kongo,,
Truiden,3,17,2020
3,Japan,,
Kiel,16,8,2019
16,Deutschland,,
Juventus,32,15,2021
32,Frankreich,,
32,Komoren,,
Chelsea,6,4,2019
6,England,,
6,Kongo,,
Monaco,8,18,2021
8,Frankreich,,
8,Martinique,,
Sandhausen,28,,2020
28,Daenemark,,
28,Ghana,,
ParisFC,14,80,2020
14,Kongo,,
Bielefeld,30,,2019
30,Deutschalnd,,
30,Italien,,
Duesseldorf,11,,2020
11,Deutschland,,
Sandhausen,20,30,2019
20,Deutschland,,
Instituto,31,17,2019
31,Deutschland,,
31,Argentinien,,
StuttgartU19,25,,2020
25,Deutschland,,
Fenerbahce,34,,2021
34,Tuerkei,,
Wolfsburg,10,,2018
10,Deutschland,,
10,Benin,,
ParisSG,7,,2019
7,Frankreich,,
7,Elfenbeinkueste,,
Paderborn,22,25,2021
22,Deutschland,,
Admira,9,18,2019
9,Oesterreich,,
9,Serbien,,
Sporting,18,5,2021
18,Portugal,,
Wolfsburg,17,,2021
17,Aegypten,,
17,Kanada,,
Vejle,19,45,2021
19,Daenemark,,
19,Afghanistan,,
StuttgartU19,50,7,2021
50,Frankreich,,
50,Kamerun,,
StuttgartII,44,,2021
44,Niederlande,,
